danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlists.country.i.
0.733,0.533,4,-6.971,1,0.0357,0.49,0,0.171,0.483,104.506,audio_features,4eQBL0cuF3ismYCzBff2Ii,spotify:track:4eQBL0cuF3ismYCzBff2Ii,https://api.spotify.com/v1/tracks/4eQBL0cuF3ismYCzBff2Ii,https://api.spotify.com/v1/audio-analysis/4eQBL0cuF3ismYCzBff2Ii,184880,4,Grace,UK
0.975,0.535,1,-7.227,1,0.196,0.0783,0,0.107,0.671,125.066,audio_features,01IQ4aQgOf0Kkq3a273hmO,spotify:track:01IQ4aQgOf0Kkq3a273hmO,https://api.spotify.com/v1/tracks/01IQ4aQgOf0Kkq3a273hmO,https://api.spotify.com/v1/audio-analysis/01IQ4aQgOf0Kkq3a273hmO,182741,4,Funky Friday,UK
0.781,0.768,11,-5.991,1,0.0394,0.0119,4.9099999999999996e-06,0.325,0.486,123.07,audio_features,5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,213309,4,Promises (with Sam Smith),UK
0.755,0.875,7,-5.944,0,0.193,0.399,0,0.115,0.393,145.008,audio_features,5c2HadbVTsMKjja4gohEFI,spotify:track:5c2HadbVTsMKjja4gohEFI,https://api.spotify.com/v1/tracks/5c2HadbVTsMKjja4gohEFI,https://api.spotify.com/v1/audio-analysis/5c2HadbVTsMKjja4gohEFI,203301,4,Maman ne le sait pas (feat. Niska),France
0.8,0.756,7,-4.4,0,0.0367,0.687,2.06e-6,0.111,0.456,113.204,audio_features,0Jh6iWjna1wk5le0Ahn7No,spotify:track:0Jh6iWjna1wk5le0Ahn7No,https://api.spotify.com/v1/tracks/0Jh6iWjna1wk5le0Ahn7No,https://api.spotify.com/v1/audio-analysis/0Jh6iWjna1wk5le0Ahn7No,193444,3,La vie qu'on mène,France
0.717,0.774,2,-6.927,0,0.0515,0.313,0,0.129,0.511,103.849,audio_features,5oePa8PlOTPAlRaGs2OZ3A,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,https://api.spotify.com/v1/tracks/5oePa8PlOTPAlRaGs2OZ3A,https://api.spotify.com/v1/audio-analysis/5oePa8PlOTPAlRaGs2OZ3A,184800,4,Putana,France
0.683,0.693,5,-6.441,0,0.127,0.647,0,0.121,0.322,137.826,audio_features,0rQbvQpjQ6QeeCAnVRzokf,spotify:track:0rQbvQpjQ6QeeCAnVRzokf,https://api.spotify.com/v1/tracks/0rQbvQpjQ6QeeCAnVRzokf,https://api.spotify.com/v1/audio-analysis/0rQbvQpjQ6QeeCAnVRzokf,157184,4,Goutte d’eau,France
0.701,0.731,5,-5.721,0,0.277,0.645,0,0.116,0.433,184.782,audio_features,5gNZjp6r2TfC3uh9iopWxt,spotify:track:5gNZjp6r2TfC3uh9iopWxt,https://api.spotify.com/v1/tracks/5gNZjp6r2TfC3uh9iopWxt,https://api.spotify.com/v1/audio-analysis/5gNZjp6r2TfC3uh9iopWxt,187399,3,Paris c'est magique,France
0.772,0.643,0,-6.367,0,0.159,0.425,0,0.102,0.609,112.015,audio_features,4DwppHaJ76CJ0GYOFwrQoJ,spotify:track:4DwppHaJ76CJ0GYOFwrQoJ,https://api.spotify.com/v1/tracks/4DwppHaJ76CJ0GYOFwrQoJ,https://api.spotify.com/v1/audio-analysis/4DwppHaJ76CJ0GYOFwrQoJ,260683,4,Jusqu'à minuit (feat. JuL),France
0.746,0.566,3,-9.455,0,0.0669,0.67,6.65e-5,0.121,0.485,135.043,audio_features,1AaJX4YEeklJyRYisD10JT,spotify:track:1AaJX4YEeklJyRYisD10JT,https://api.spotify.com/v1/tracks/1AaJX4YEeklJyRYisD10JT,https://api.spotify.com/v1/audio-analysis/1AaJX4YEeklJyRYisD10JT,217480,4,Jeune Lossa,France
